"","var","rel.inf"
"ARID5A","ARID5A",5.85824789279842
"KCNMB3","KCNMB3",3.71367866527398
"`RP11-125A7.3`","`RP11-125A7.3`",3.34156737056091
"SPRED1","SPRED1",2.68663889659327
"PTX3","PTX3",2.55040742470383
"DPYS","DPYS",2.49365808424989
"MNDA","MNDA",2.37320089144144
"FOS","FOS",2.10692907869983
"TEX12","TEX12",1.86927836228728
"ZNF493","ZNF493",1.78142242410003
"G6PC","G6PC",1.76051930528597
"HS3ST2","HS3ST2",1.75769373927599
"GLB1L","GLB1L",1.7073370321418
"LRRN3","LRRN3",1.6967947332013
"CELP","CELP",1.64681439296164
"SASP","SASP",1.63870912649113
"KDELR1","KDELR1",1.59421243542748
"TRIM2","TRIM2",1.454791629845
"GGTA1","GGTA1",1.27598406468708
"CNOT10","CNOT10",1.20567300931863
"CTCFL","CTCFL",1.15905368372231
"BPIL2","BPIL2",1.12961066091059
"COPS5","COPS5",1.12423847941631
"REC8","REC8",1.08928741299097
"RNASE1","RNASE1",1.04063423373793
"GLT1D1","GLT1D1",1.01299947939117
"RC3H1","RC3H1",0.974240267329514
"SFRS5","SFRS5",0.921490642045546
"RNF150","RNF150",0.914915347360316
"AMMECR1","AMMECR1",0.880995111572321
"ZNF284","ZNF284",0.875776301815362
"TMEM9","TMEM9",0.867184114378743
"FMO5","FMO5",0.847598297013052
"PER1","PER1",0.846735909264978
"GNPNAT1","GNPNAT1",0.815870209866513
"MXD1","MXD1",0.811635207287984
"ALDOAP2","ALDOAP2",0.762830947673207
"RCL1","RCL1",0.76248652327348
"FRAS1","FRAS1",0.744114521900701
"MGC33407","MGC33407",0.72857907474431
"ZNF740","ZNF740",0.687651937834006
"KLHL18","KLHL18",0.594401012930359
"ZDHHC20","ZDHHC20",0.5873994202067
"IRF2","IRF2",0.574050871077005
"EIF2B2","EIF2B2",0.563814036771287
"SMARCAL1","SMARCAL1",0.560667802391913
"LNX2","LNX2",0.554274808112889
"LGALS2","LGALS2",0.538389717028865
"ASGR1","ASGR1",0.532827338483916
"SNF1LK","SNF1LK",0.528604826963171
"SLC39A11","SLC39A11",0.520704700899391
"RPN1","RPN1",0.512488008886828
"PLEKHB2","PLEKHB2",0.490825386631419
"MTHFR","MTHFR",0.478966040356934
"EDIL3","EDIL3",0.464860182944307
"HYPE","HYPE",0.461588325547021
"PLCL2","PLCL2",0.438142376076127
"NOX4","NOX4",0.431902384928957
"GPR6","GPR6",0.427862148063594
"STAU2","STAU2",0.417239346923582
"TTYH2","TTYH2",0.411968190057867
"YWHAH","YWHAH",0.411027428142731
"MYO1F","MYO1F",0.397038088904634
"TNFRSF1B","TNFRSF1B",0.39153810670555
"RAD51L1","RAD51L1",0.371059117018948
"ZMYND15","ZMYND15",0.367775683731031
"NEK2","NEK2",0.365437410904995
"SFRP5","SFRP5",0.36506375425244
"GRIK1","GRIK1",0.363079001731448
"GNG2","GNG2",0.361158454927808
"DDX6","DDX6",0.359372214841693
"METTL2B","METTL2B",0.357151607238968
"LBP","LBP",0.338171208552472
"MSR1","MSR1",0.331163244392503
"CD36","CD36",0.330829203827613
"IYD","IYD",0.322924833131827
"CCL23","CCL23",0.319224473349917
"CST4","CST4",0.316807336758672
"CLEC9A","CLEC9A",0.311804689327331
"GHR","GHR",0.310559217657423
"HTR1F","HTR1F",0.307950476663256
"THRAP3","THRAP3",0.305998076169089
"ZNF498","ZNF498",0.305384980063834
"SOX7","SOX7",0.299503911574588
"LGR4","LGR4",0.295162304225677
"FARP1","FARP1",0.295123141687225
"WAC","WAC",0.294700708028041
"MPP5","MPP5",0.291509134215304
"EBI2","EBI2",0.291284056441902
"MICAL2","MICAL2",0.287006875642814
"CDH3","CDH3",0.277034983084766
"PCCB","PCCB",0.27538519736193
"IER2","IER2",0.270395386913037
"LTF","LTF",0.269121139606308
"PLAC8","PLAC8",0.267195141801587
"LILRA1","LILRA1",0.258403004716269
"MGAT3","MGAT3",0.251848455805422
"RNF122","RNF122",0.250305735888321
"NR4A3","NR4A3",0.249768539161896
"FPRL2","FPRL2",0.249089999189954
"SLC39A9","SLC39A9",0.244707460198025
"ART4","ART4",0.242315022983805
"ADCY3","ADCY3",0.242029023877418
"ITGA7","ITGA7",0.239961868561576
"ZDHHC16","ZDHHC16",0.239258584982903
"ATIC","ATIC",0.239161728792838
"GPR149","GPR149",0.235157721581027
"TRPM4","TRPM4",0.231260926258692
"TGFBR2","TGFBR2",0.2208873581782
"KLK7","KLK7",0.216837956935125
"FLJ45803","FLJ45803",0.215380240470977
"MED12L","MED12L",0.214998166090031
"FABP7","FABP7",0.212568032042603
"TRPM6","TRPM6",0.206849969798934
"TRIM42","TRIM42",0.205692328837342
"C1orf58","C1orf58",0.204202647945541
"CCDC82","CCDC82",0.203712610839536
"LPHN2","LPHN2",0.201912918146202
"PNCK","PNCK",0.201739183760094
"TMEM70","TMEM70",0.2000430194242
"GABARAPL1","GABARAPL1",0.199407135224358
"PVRL4","PVRL4",0.194640452604941
"ARMETL1","ARMETL1",0.194510296997995
"MRGPRX3","MRGPRX3",0.191031088097254
"C19orf63","C19orf63",0.187674500774144
"C9orf71","C9orf71",0.186146268809319
"CD1C","CD1C",0.181584738698105
"SLC30A5","SLC30A5",0.177587506978053
"CDGAP","CDGAP",0.174574654353467
"C3","C3",0.171886533771111
"GPD2","GPD2",0.171832072263808
"ARID5B","ARID5B",0.17040472169177
"ATF3","ATF3",0.168912500048881
"DHCR24","DHCR24",0.16686883497531
"PLS1","PLS1",0.157645268959928
"MAP3K3","MAP3K3",0.156489291727314
"CHRM1","CHRM1",0.151694412624209
"CXCL3","CXCL3",0.149008328989476
"ZNF35","ZNF35",0.147667777611902
"G0S2","G0S2",0.141827871761181
"`NKX3-2`","`NKX3-2`",0.132999854503899
"SLCO1C1","SLCO1C1",0.132991945658384
"NRIP2","NRIP2",0.131304610764642
"SEC23B","SEC23B",0.130558302259779
"CPM","CPM",0.126289160213601
"OTUB2","OTUB2",0.123966461089959
"TSHZ2","TSHZ2",0.122546681816213
"RUNX1","RUNX1",0.116701882794478
"KIAA0586","KIAA0586",0.11544817620608
"MAP4K1","MAP4K1",0.112492593765045
"KLRC4","KLRC4",0.10551143539242
"CA3","CA3",0.105352471320425
"KLHL12","KLHL12",0.102497068507331
"LOC440248","LOC440248",0.101423959841939
"TMEM87B","TMEM87B",0.0974193790269137
"C1RL","C1RL",0.0951791240743126
"TXNRD1","TXNRD1",0.0943127675693549
"APOBEC3F","APOBEC3F",0.0899801651131912
"ZFP36","ZFP36",0.0891288531454171
"FLJ21511","FLJ21511",0.089110596983732
"TRAF1","TRAF1",0.0881311461042569
"ABCA9","ABCA9",0.0841540607885224
"GMFG","GMFG",0.0823265261462064
"GABRE","GABRE",0.0795813586906054
"TNFRSF8","TNFRSF8",0.0786267379414497
"CYBA","CYBA",0.0775599864617551
"P2RY12","P2RY12",0.077478105902354
"PPP1R15A","PPP1R15A",0.075870333523428
"PATZ1","PATZ1",0.0728925935423312
"CCDC51","CCDC51",0.072146030999093
"DDX23","DDX23",0.0714060470905661
"FYN","FYN",0.0702408883372516
"KLRC3","KLRC3",0.0700645127845338
"INPP1","INPP1",0.0678296168553861
