"","var","rel.inf"
"C20orf19","C20orf19",6.30440041347856
"PER1","PER1",5.90361945703944
"SAA1","SAA1",4.53765870595767
"KCNMB3","KCNMB3",3.27550184852636
"JAG2","JAG2",2.88108402464717
"BPIL1","BPIL1",2.81211400297951
"HNRPH3","HNRPH3",2.52138171318628
"FLJ21511","FLJ21511",2.4210440178423
"GRRP1","GRRP1",2.36578318920053
"SMARCAL1","SMARCAL1",1.96304357475331
"APOBEC3C","APOBEC3C",1.94680879042828
"hCG_1990170","hCG_1990170",1.88327611632284
"KIAA1462","KIAA1462",1.83805375560292
"RNASE1","RNASE1",1.71494365218089
"ARF1","ARF1",1.42218939325168
"RASGEF1B","RASGEF1B",1.40078717628658
"C1orf213","C1orf213",1.338688806573
"ARID5A","ARID5A",1.26851674201445
"JARID1B","JARID1B",1.25576162625349
"PDK4","PDK4",1.17752362462334
"DDX23","DDX23",1.10116072462527
"HEATR2","HEATR2",1.09560607430803
"IL13","IL13",1.07348435116361
"GPR6","GPR6",1.06035565547629
"WAC","WAC",1.05425878799129
"KCNE1L","KCNE1L",1.04405211074238
"KLRF1","KLRF1",1.037565735096
"MT1JP","MT1JP",1.02462453784057
"TPD52","TPD52",0.950578533726632
"INTS6","INTS6",0.907775238399829
"RIBC2","RIBC2",0.903622444364183
"TRIM42","TRIM42",0.888999931834294
"OR8U1","OR8U1",0.844764477803874
"GSK3B","GSK3B",0.828387812746975
"CAPN9","CAPN9",0.773150252033013
"KLK7","KLK7",0.770904362343852
"C12orf28","C12orf28",0.762535121582947
"MYO9A","MYO9A",0.762183347402563
"FARP1","FARP1",0.752524164775996
"RAB2A","RAB2A",0.739230196816648
"CXCL3","CXCL3",0.660291987970925
"C14orf169","C14orf169",0.613025542532237
"MMD","MMD",0.598059980647509
"F12","F12",0.591306416910287
"NRIP2","NRIP2",0.573802511518018
"DDI2","DDI2",0.568550833827615
"CST1","CST1",0.565592771552308
"CPM","CPM",0.560226426142561
"MYO1F","MYO1F",0.558877412488261
"ARHGEF4","ARHGEF4",0.526946138400688
"EDN3","EDN3",0.495381603337062
"MAP1LC3C","MAP1LC3C",0.465064178009907
"GMPPA","GMPPA",0.461993924734203
"HUWE1","HUWE1",0.444412375256666
"PPP1R14D","PPP1R14D",0.433104472034143
"RGS2","RGS2",0.414499290592336
"STAC2","STAC2",0.394655026207772
"SLC39A9","SLC39A9",0.39334111317246
"FTSJ2","FTSJ2",0.385398706040754
"RAPGEF1","RAPGEF1",0.375584099753346
"ARRDC3","ARRDC3",0.374836280380287
"KLRC4","KLRC4",0.362232040277823
"TIMM17A","TIMM17A",0.357528022495007
