,rel.inf,rel.inf.1,rel.inf.2,rel.inf.3,rel.inf.4,
PER1,13.31346984,9.494646922,8.367674707,11.59147503,4.203435844,9.394140468
KCNMB3,9.731196666,11.10097489,8.908426651,6.236629386,9.345112178,9.064467953
RCL1,8.6948494,7.615766079,4.456398609,7.901339843,6.776918113,7.089054409
ARID5A,1.482250737,7.158684412,2.800312345,7.075311346,7.296278595,5.162567487
MNDA,3.494123406,4.611739819,3.789652513,10.43430561,2.337748191,4.933513908
FRAS1,3.349165261,1.119184391,5.605660727,1.952262503,9.32053557,4.26936169
MT1H,4.622491614,4.630500157,1.119713896,2.516783093,3.797650236,3.337427799
CNOT10,1.013120304,2.18811205,5.406447615,4.23774474,3.475698941,3.26422473
KIAA1462,3.913916293,0.868566231,3.151235321,2.76187883,4.845523231,3.108223981
ARF1,3.331768016,6.904239738,2.832740572,0.296298763,2.159419586,3.104893335
SMARCAL1,1.865678804,5.21118157,1.703237105,2.335305675,3.744253238,2.971931278
RNASE1,2.561774979,2.401321089,2.174022772,2.81626811,3.400883521,2.670854094
DDX23,4.832273875,2.941963387,3.922489443,0,1.402531093,2.619851559
RC3H1,3.618685828,1.706061933,2.42935737,2.258974781,2.724052941,2.547426571
CYBA,2.660674875,4.960600722,2.616398689,1.393400491,1.079531388,2.542121233
GGTA1,2.699747807,3.476666363,2.578197575,2.111929916,1.807711822,2.534850697
CFP,1.340829396,3.577275939,2.900522001,3.299829226,0.788785666,2.381448446
BPIL1,1.650588979,1.08440811,2.872626395,2.692823957,2.553909004,2.170871289
KLK7,0.595241511,2.748316758,4.015842436,2.276715905,0.594578417,2.046139005
C20orf19,1.639765447,0.877001545,2.924904471,2.230679592,2.014000717,1.937270354
YWHAH,3.324057643,1.894925874,1.618053056,0.353302616,2.009091254,1.839886089
GPR6,2.219326726,1.171787007,2.878751716,2.041554647,0.489317418,1.760147503
FLJ21511,2.681146244,0.453513868,3.530874593,0.517448559,1.434719361,1.723540525
WAC,1.91589992,0.718183926,0.881414195,2.75411826,1.843086383,1.622540537
IL13,1.500284534,0.039150925,0,1.391956223,4.70587931,1.527454198
SAA1,1.625061167,0.757006538,2.259117464,1.483793386,1.040335514,1.433062814
RASGEF1B,0.801037031,0.022973006,1.039654421,1.673552996,3.377285098,1.38290051
C21orf63,1.340012576,0.805147522,1.119927655,2.355343394,0.475029074,1.219092044
APOBEC3C,1.479690906,2.100207178,1.497038825,0.324906335,0.332870901,1.146942829
APOBEC3F,0.157268584,0.838040999,2.034129142,0.522859796,1.867736957,1.084007096
KCNE1L,0.993855192,0.846800557,0.915878127,0.598884638,1.966325781,1.064348859
JAG2,0.487043993,0.16769199,1.491580603,1.261728454,1.274392576,0.936487523
HEATR2,0.084335579,0.436006701,1.347419548,0.038109073,2.381561801,0.857486541
hCG_1990170,0.866256953,0.011513863,0.718741469,1.858216118,0.175627299,0.72607114
KLRF1,0.483569306,0.039742709,0.81728133,1.914213281,0.147355558,0.680432437
HNRPH3,0.322604263,0.583250428,0.524122108,1.297655549,0.495788115,0.644684093
C1orf213,0.493347032,1.845313478,0,0.589395099,0.27845308,0.641301738
MT1JP,1.182056687,0.260494777,0.393034366,0.8913088,0.448822627,0.635143451
C10orf54,0.383450392,1.134081191,0.958779895,0.355674343,0.232849372,0.612967039
JARID1B,0.01288132,1.119882259,0.506709001,0.533408326,0.738504839,0.582277149
PDK4,1.202110776,0.050313083,0.763571141,0.240834603,0.299660398,0.511298
GRRP1,0.033090136,0.02676002,0.128060133,0.581778706,0.316748992,0.217287597
