,rel.inf,rel.inf.1,rel.inf.2,rel.inf.3,rel.inf.4,
PER1,7.49561909,6.298774743,7.118136206,9.236858785,7.218703743,7.473618514
KCNMB3,7.295306031,6.694515248,7.682903271,4.439140855,8.999578822,7.022288845
RCL1,5.58530035,9.43307768,2.720228629,6.693899318,4.62386982,5.81127516
ARID5A,5.608840075,5.442171268,5.410118135,4.119143195,7.103926415,5.536839818
FRAS1,5.989659167,4.726797357,4.477733389,1.274385447,4.579266797,4.209568432
MNDA,3.248644332,3.214401545,6.200993039,4.097495065,1.307719848,3.613850766
ARF1,4.034381963,3.360131951,2.458829691,2.655409384,3.314176421,3.164585882
STAU2,3.688697583,2.78604341,2.819100496,5.010768047,0.252826447,2.911487197
SMARCAL1,2.842276914,3.011647829,1.166336842,6.207763342,1.260539546,2.897712895
KIAA1462,1.845933229,2.444335622,1.612640574,3.21711484,5.224351008,2.868875055
MAP3K1,2.828718504,2.590081046,0.902375235,4.0562036,3.105698765,2.69661543
GGTA1,1.800851418,1.378079869,1.870343644,2.654662605,4.82783282,2.506354071
CNOT10,3.910716226,1.28613588,1.692491711,3.4411479,1.697140484,2.40552644
ZFP36,1.140223306,4.174580886,2.220118302,1.855089294,2.093079794,2.296618316
C20orf19,0.168236214,0.031296865,7.771054232,1.358778324,1.916549695,2.249183066
RC3H1,3.907591395,3.591920995,0.746221553,0.752371918,2.234709333,2.246563039
MT1H,1.288336459,2.078876041,2.384355578,3.97239402,1.263314286,2.197455277
DDX23,1.093759656,2.0404985,0.354574024,3.207471244,4.111407557,2.161542196
YWHAH,2.155071868,2.159538098,3.589366459,1.272867935,1.449088681,2.125186608
GPR6,1.572424438,4.160278064,0.359679375,1.778060273,2.644097236,2.102907877
IL27RA,1.638728628,2.941024476,1.399392095,1.735786881,1.534016597,1.849789736
APOBEC3C,4.447019423,2.344722667,0.612672383,0.876910619,0.884246825,1.833114383
WBSCR17,0.365829228,0.998795777,2.858594576,2.034621441,2.38713237,1.728994678
RNASE1,1.784316073,2.053265319,1.749161546,1.16432546,1.795614456,1.709336571
CYBA,3.120414575,0.410218757,1.982679766,0.364568693,2.627522396,1.701080837
IL13,0.483685895,0.442846993,1.957858694,1.394691357,4.073833017,1.670583191
CFP,2.826380165,2.482862606,0.26970733,2.446980559,0.13243936,1.631674004
WAC,1.183011021,0.096687377,2.952735836,2.004337864,1.555167178,1.558387855
KRT34,3.080198437,1.099849527,3.032000295,0.274410618,0.25070018,1.547431812
BPIL1,0.21390829,1.719835575,4.694717948,0.124233639,0.640626003,1.478664291
KLK7,0.42722804,0.850367093,0.620114943,2.898014375,0.708790708,1.100903032
KCNE1L,0.583775078,0.159245697,1.482507446,1.005277807,1.940956302,1.034352466
UQCRB,3.431813356,0.106936907,0.32659608,0.722231527,0.315834596,0.980682493
JAG2,1.539606102,0.710721223,0.757995856,1.046659721,0.678932026,0.946782986
POLH,1.090895578,1.229537773,0.579151052,0.75620184,0.757075427,0.882572334
M6PR,0.726953215,2.662662197,0.047370191,0.298161024,0.24182574,0.795394474
FLJ21511,0.459137858,0.364852411,1.927269602,0.711216265,0.496581693,0.791811566
HNRPH3,0.101041965,0.363377549,0.556072047,1.609047585,1.107585183,0.747424866
SYNJ2,0.072475449,0.887494623,1.01471038,0.789738051,0.707672669,0.694418234
PSMD14,1.09157714,0.482853274,0.236136821,0.530255288,1.089769012,0.686118307
SAA1,0.608671825,0.04380382,0.09242497,0.495954373,2.101773868,0.668525771
LOC388272,0.175431078,0.536018236,1.202168216,0.770716657,0.535502578,0.643967353
KLRF1,0.173832799,2.040603942,0.178805862,0.681852232,0.107112125,0.636441392
C10orf54,0.019956202,0.942609116,1.544377279,0,0.016978789,0.504784277
C21orf63,0.515565108,0.214607221,0.416999547,0.622395765,0.497503083,0.453414145
LOC197322,0.915896314,0.086345344,0.395592522,0.118548878,0.724972505,0.448271112
hCG_1990170,0.017857339,0.077793134,1.391893535,0.655875469,0.003384367,0.429360769
MGMT,0.250105786,0.378336894,0,0.2554269,0.673520792,0.311478074
C1orf213,0.369102974,0,0.180819481,0.578734969,0.354919079,0.296715301
APOBEC3F,0.0787516,0.285925005,0.8491198,0.227852252,0.031558899,0.294641511
PDK4,0,1.26119626,0.054442498,0,0.151197247,0.293367201
HEATR2,0.173444436,0.082383785,0.04327715,0.346485518,0.72182745,0.273483668
FLJ40298,0.458224588,0.577606433,0,0.113955629,0.156491571,0.261255644
RASGEF1B,0.062580242,0,0.288754185,0.547330273,0.326325832,0.244998106
JARID1B,2.33E-05,0,0.570552838,0,0.049024899,0.123920211
SLC2A13,0.011972655,0.009810253,0.115494445,0.296911394,0.082680763,0.103373902
GRRP1,0,0.151619839,0,0,0.311026895,0.092529347
MT1JP,0,0,0.060232398,0.199263685,0,0.051899217
FABP6mut,0,0,0,0,0,0
MAPKBP1mut,0,0,0,0,0,0
NPAP1mut,0,0,0,0,0,0
