"","number","idx","exp","MSE"
"ZFHX3",1992,26,-0.819499999999999,1783938.8759104
"PELI1",1514,218,0.573249999999999,1788353.99354274
"IL27RA",2448,313,0.430937500000001,1793362.2195487
"CYP1B1",7633,407,3.278375,1796031.50832815
"HS3ST2",5242,70,0.64725,1798054.77358435
"FBXL13",16179,362,0.128749999999999,1802350.25878603
"WDR91",15490,365,0.31125,1809967.64529743
"MAP3K1",3755,390,2.79625,1810098.22147257
"MXD1",16059,395,0.837593749999999,1811047.47682398
"TPD52",16760,91,0.688666666666668,1816936.82991677
"PIGS",16953,26,-1.31925,1817262.90574753
"hCG_2028557",16938,41,-0.959375000000001,1817559.52428482
"LBP",7835,407,4.05995,1818198.96848484
"CARD10",5028,21,-1.32541666666667,1822804.32266257
"DNAJC15",13121,397,1.13325,1823978.06963314
"SLC29A1",7354,42,-0.4225,1828329.42245693
"RFWD2",5538,387,1.20466666666666,1828825.49621503
"COG4",15475,38,-1.273,1828939.93292278
"WWP2",10735,39,-0.335375,1829783.22995149
"RBM23",14198,32,-0.869785714285715,1831719.74047125
"CXCL13",56,405,7.654,1832745.16469288
"ICAM1",12660,382,0.6360625,1832938.12760902
"SLC12A7",9296,44,-0.0890833333333338,1834269.86525896
"ATP6V0D1",14110,31,-0.629166666666666,1835122.04046839
"OSR1",16886,208,0.0374166666666649,1835733.27180938
"TMEM188",3995,24,-1.111,1835984.96934404
"ETV3",9356,365,0.501250000000003,1836775.22896779
"C6orf126",11031,404,2.84025,1838593.00652484
"C19orf15",3318,22,-0.379083333333334,1841322.14720391
"FKSG24",8244,378,0.463375,1841802.8068883
"FAM123B",16728,388,1.51625,1842918.92699965
"C6orf105",8949,386,-1.20975,1843234.13552773
"MALT1",1110,343,-0.249333333333334,1843335.38835041
"ZFP36",2503,156,0.925749999999996,1843413.90515773
"HSPA8",11081,20,-1.459625,1844130.78603517
"ZMYND15",10955,357,1.94625,1844372.49364644
"SYNGR2",14352,38,-0.269249999999998,1844463.90633259
"AARS",6511,39,-1.62666666666666,1844471.32012347
"FTL",5731,20,-1.53185,1844778.7991747
"CLTC",8146,105,-0.440583333333332,1844951.01797189
"CNOT1",4546,20,-1.12895,1845047.62935905
"TTC22",3015,400,1.75525,1845057.75551747
"GRN",4032,51,-0.31275,1845822.11906197
"TXNRD1",722,30,-2.1573,1846322.58242829
"PRRG4",5680,376,2.223,1846389.18987616
"SLPI",12285,163,-1.49515,1846419.13475366
"FAM84B",511,247,1.4546,1846450.46531125
"MIF4GD",8600,66,-0.344916666666667,1846912.07000802
"CDH3",15708,171,0.703125000000001,1846979.42924059
"TRAF3",5646,383,0.932625,1847434.53515579
"NIP30",12293,22,-0.964062500000002,1847440.74903671
"CANT1",9534,73,0.0198749999999992,1847788.55953394
"COPS5",3885,86,-0.398083333333333,1848080.12274202
"ITFG1",10621,20,-1.0705,1848100.85125864
"RANBP3L",14674,77,-0.0871875000000011,1848177.47290227
"GTF2IRD2",10490,384,1.076375,1848491.34617879
"PSMC5",7430,63,-0.906666666666668,1848561.98245087
"PRKX",16588,405,1.81625,1848587.46480315
"PKHD1",15390,324,0.967312499999999,1849736.07961454
"SEPP1",12558,20,-1.39658333333333,1849815.2774135
"CTSL1",8303,22,-1.49925,1849869.83585427
"FSD1L",11846,391,1.247625,1850117.17976273
"ZNF677",13480,45,-0.804750000000004,1850180.61969462
"PPYR1",4065,377,0.595916666666666,1850197.00442004
"PGRMC2",5577,101,0.00909999999999992,1850208.28750916
"RTN2",13646,28,-1.04166666666667,1850594.61330061
"LOC554248",5848,373,-0.938625000000003,1850801.31591405
"PLEKHN1",1745,401,1.37858333333333,1851042.64239174
"SLTM",9874,24,-0.752187500000001,1851553.42553175
"EEF1B2",14508,217,-0.662916666666666,1851582.41910634
"EGR3",1546,255,1.07750000000001,1851832.26571479
"TEPP",2065,334,0.59225,1851835.06256746
"LGI4",2402,42,0.0551249999999981,1852544.6905835
"GNS",11223,67,0.0663124999999981,1853040.41386475
"PI4KA",1221,26,-1.44325,1853077.16404016
"PEAR1",3224,20,-0.0749166666666665,1853432.05605218
"ARNTL2",14340,367,-0.304875000000003,1853610.5250362
"HHLA3",13799,335,0.2222,1853980.93205571
"TGS1",5136,22,-1.178625,1854105.9393131
"CCNE1",13130,384,0.244500000000006,1854891.77907328
"PADI2",8454,205,1.595625,1854916.5911944
"FLJ36031",13951,382,0.638000000000003,1855036.39035001
"MSR1",6947,28,1.7788125,1855428.5095761
"THAP11",9959,20,-0.706187500000002,1855919.95150596
"FKBP5",13452,296,0.791749999999999,1855964.13950946
"MLYCD",1050,23,-0.794624999999999,1856016.5004837
"MTF1",1324,393,2.148375,1856017.72575825
"EFCBP2",4609,378,0.227791666666666,1856101.29373058
"CTF8",8098,24,-1.10783333333333,1856130.69478797
"GRK5",8814,20,-1.12108333333334,1856167.69991208
"S100A8",10297,351,3.20175000000002,1856599.33976284
"KCNJ5",10752,132,2.04041666666667,1856648.19064104
"LAMB3",2481,160,-0.666400000000005,1857323.95714739
"OSBPL3",11208,355,-0.498916666666669,1857643.57167746
"RUNX1",5704,401,2.19581250000001,1857664.53713358
"KARS",3795,20,-2.189,1858369.61371809
"EMX2OS",14435,22,1.244375,1858493.76306637
"KIAA1909",10831,269,0.655625,1858545.63031048
"CHI3L2",11505,170,-0.213312500000001,1858861.33874166
"RPL36A",11977,284,-0.0362500000000001,1858953.97647815
"EBAG9",12510,27,-0.203333333333333,1858997.12853513
"AKTIP",3583,38,-0.125875,1859017.72809557
"SAA4",839,222,-3.175125,1859078.25877496
"HERPUD1",3889,32,-0.541999999999998,1859285.51183863
"OR1A1",12617,264,0.439916666666669,1859441.7200969
"MRPS21",866,403,0.8971,1859728.98856618
"TNNT1",10853,21,-4.59866666666667,1859818.89344077
"PTGES3",14262,219,-0.57925,1859916.60844669
"SKP2",14217,380,-1.5675,1860086.68551474
"HHAT",12433,30,0.44175,1860118.51659884
"RPS6",11457,318,0.555125,1860161.788183
"ZNF468",6938,25,-0.322083333333335,1860317.29214585
"ARAF",8638,20,-1.38775,1860344.51588486
"FAT2",10024,212,0.4675,1860419.08770839
"KCMF1",15920,374,0.675500000000002,1860558.08276467
"CAND1",10941,23,-0.770000000000001,1860593.016409
"ZFP36L2",14329,258,1.48933333333333,1860813.44242074
"C17orf28",3999,28,0.164083333333331,1860829.04935951
"SERINC1",8576,31,0.409458333333334,1861148.04248581
"FEM1C",7142,60,-0.339624999999999,1861253.25483868
"NFYC",9009,337,0.790416666666666,1861353.91598438
"DAPL1",2134,222,0.810499999999999,1861376.89161089
"ASL",7162,93,-0.629,1861556.07255307
"ZNF813",3767,40,-0.271312500000002,1861623.90435356
"DPY19L4",10697,80,0.157625,1861626.00471928
"DHDH",14926,400,1.695625,1861677.85619248
"TEX261",5652,32,-0.43525,1861712.68980696
"EIF4G3",4456,25,-1.02075,1861734.85802584
"LPIN1",7547,375,0.199624999999999,1861779.29229498
"NXPH3",7735,37,-0.0245000000000022,1861914.11567676
"CEACAM8",1194,128,-0.0970999999999994,1861998.02211407
"LTF",8423,179,2.96614285714285,1862375.51324389
"PXMP2",6789,211,-0.229625000000003,1862520.34280963
"KIAA1462",5312,80,-0.244999999999999,1862553.14136839
"PAPOLG",5033,366,0.874875,1862571.58518168
"MAP3K3",8784,94,-0.626083333333335,1862771.20771188
"IL10",9352,69,0.419083333333334,1862837.01575489
"SPIB",7661,338,0.8359375,1863039.99247308
"ARL1",7709,43,-0.0114285714285704,1863041.18198715
"ZRF1",5341,351,-0.378499999999999,1863042.29764015
"MSL3L1",14586,377,0.927599999999999,1863298.30716898
"CRTC2",16627,393,1.239875,1863377.07657658
"ZNF75A",6682,26,-0.544125000000001,1863423.59407756
"A2ML1",6652,336,1.1265,1863450.25788288
"MYBPC1",13205,269,2.6365,1863630.59188245
"PELO",1213,73,-0.81325,1863718.25179627
"MS4A4A",15810,22,-2.7145,1863908.10081665
"KRT5",2015,161,-1.5006,1864255.1621432
"NPC2",15297,299,1.20075,1864276.84457308
"SLC2A10",9060,69,-0.00450000000000052,1864717.06135543
"C2orf18",2778,396,1.57375,1864870.26114963
"RABL5",969,395,1.04875,1864932.30976163
"JAK2",9088,400,1.33091666666667,1865041.09822039
"PIGU",5315,123,-0.730166666666666,1865512.70124112
"C1QL2",11492,396,2.76737499999999,1865583.77388436
"ANXA8L2",11067,407,2.822125,1865612.90913472
"BCL11B",11311,377,-0.972999999999999,1865968.65173448
"LRPAP1",17235,86,-0.181321428571429,1866010.546755
"ATP6AP1",14420,272,0.9037,1866110.162424
"PCTK3",6995,379,0.763999999999998,1866171.2325188
"SNF8",7381,68,-0.888124999999999,1866385.89542493
"STAC2",12208,111,-0.00162500000000113,1866497.08375677
"SBNO2",11025,331,0.77625,1866572.30337293
"hCG_21078",12781,303,0.373999999999998,1866601.30404836
"KIAA1244",14410,141,1.59608333333333,1866874.25760826
"LELP1",8102,368,0.401333333333333,1866978.7008902
"DHX57",1759,354,0.246437499999999,1866984.43223905
"ENPP1",12809,36,-1.56458333333334,1867081.54945402
"ARIH1",6741,77,-0.75125,1867091.67585382
"FOXD2",2779,93,-0.223124999999999,1867544.00623513
"RPL31",9701,210,-0.321812500000004,1867556.33442942
"ZNF740",6950,182,-0.125499999999999,1867580.59402427
"AQP11",9102,87,-1.775375,1867768.8525217
"DCTN2",15070,65,-0.509999999999999,1867972.38322917
"GPC3",5255,24,-5.534875,1867980.58319013
"ZNF816A",4544,95,0.2145,1868051.84837578
"CCDC44",8687,163,-0.27125,1868255.27680297
"CTSO",929,23,1.297125,1868563.23208164
"OGFRL1",553,168,0.487625,1868611.41460249
"CELSR2",13885,401,0.877928571428575,1868612.49766556
"LOC492311",2274,38,-0.306,1868675.0445011
"KRT14",14628,176,-0.268785714285715,1868754.56941952
"TSPAN12",15761,25,-0.3431875,1868873.26675995
"ZNF738",9017,111,-1.327,1869145.21808774
"MYBPH",16498,396,0.270250000000001,1869151.5993036
"SRXN1",12559,21,-1.079125,1869276.63053067
"AVIL",7991,39,-0.291000000000002,1869277.71852123
"RANBP2",12923,385,0.710916666666666,1869405.96546959
"FNBP4",3928,343,-0.600333333333334,1869630.24473152
"DNMT3L",1656,392,-0.603125000000002,1869727.49725102
"ARHGAP26",416,408,0.794375000000001,1869732.20407985
"BPIL2",3507,144,-0.0933749999999989,1870002.00033666
"HCFC1",4610,47,-1.12833333333333,1870041.41862317
"LOC541473",13006,386,0.312499999999999,1870097.65082946
"VEZF1",16779,23,-0.5236875,1870428.39343243
"CASC2",10267,364,0.951416666666671,1870559.78831702
"ZNF652",11914,25,-2.297875,1870636.93283666
"MRFAP1",2728,132,0.0939166666666666,1870752.68753714
"ELOVL1",9605,32,-0.49825,1870803.66390674
"ADAMTS15",11497,83,0.0417499999999995,1870819.55869149
"CALCOCO2",411,129,0.134499999999999,1870902.92329636
"OR52L1",14026,36,-0.37025,1871006.24476482
"LILRA3",17125,59,-0.0232500000000002,1871095.35483564
"WDR75",5651,362,-0.127666666666666,1871416.7716614
"TCF7L2",14958,169,0.808285714285714,1871447.89972693
"CCDC123",16630,385,1.2245625,1871462.91232181
"SUHW3",9999,381,0.154749999999998,1871520.92855279
"COMMD9",7562,379,0.859666666666666,1871597.51043807
"EXDL2",3059,78,0.359,1871611.86712474
"CPOX",3101,20,-2.7155,1871612.23627907
"RUNDC1",15649,50,0.0564999999999982,1871649.59373317
"PSMA6",5323,156,-0.472750000000001,1871669.40740973
"PLAGL2",14822,405,0.680500000000004,1871718.54878798
"PLOD3",5937,365,-0.4395,1871732.68405978
"FRAT1",7868,62,-0.14625,1871740.74450243
"LCE2D",6870,312,1.193,1871793.47346782
"RPL24",11329,399,0.955187499999999,1871823.47272351
"GJB3",7905,401,1.60325,1871874.618857
"RPS18",19,273,0.293821428571429,1872010.02124422
"C16orf3",13944,339,0.55325,1872045.79943837
