"","number","idx","exp","MSE"
"DHRS9",1586,25,-1.069125,1480909.81588182
"WWP2",10735,33,-0.190375,1489588.53337092
"SNTB1",3171,23,-2.375625,1492283.88487691
"FANCE",17166,22,-2.20625,1493186.87468497
"MAP3K1",3755,226,2.62125,1497060.04130236
"PTPRN2",10410,21,-2.223,1500734.40717066
"RPL36A",11977,206,0.29275,1501074.91501713
"ATP6V0D1",14110,20,-0.601,1501493.02627842
"C11orf64",13542,106,-0.00300000000000001,1502546.8808212
"DOK2",7469,20,0.343624999999998,1505286.66859488
"ADFP",8249,30,-2.108,1506880.26706106
"SRGN",5898,20,0.0272500000000002,1510248.14311608
"CTSL1",8303,21,-1.32941666666666,1510814.2327871
"ALKBH4",8156,234,0.50975,1510820.76475436
"TTYH2",16957,23,-0.627416666666667,1514834.31326291
"PDHA1",15181,25,-1.278125,1515286.3637542
"RBM23",14198,22,-0.862035714285715,1515934.74177178
"CD1D",16276,24,-2.1111875,1518185.58853856
"LOC554248",5848,235,-0.805875000000001,1519810.46763017
"SLC12A7",9296,29,-0.0890833333333338,1519999.56542339
"MTHFR",12023,224,1.01231818181819,1520706.04073917
"RNF166",13181,20,-1.26615,1520938.08063155
"OR1M1",11450,225,0.723499999999999,1521252.92463004
"TNFRSF1B",1811,45,0.250583333333332,1523614.99292257
"LYAR",13059,21,-1.835,1523788.647948
"IMPA2",6945,25,-2.164375,1524919.28175932
"SLC25A11",7280,26,-1.114125,1524964.76848216
"SLC29A1",7354,20,-0.422500000000001,1524989.07243665
"ODF2L",14468,183,0.975,1525409.00525885
"CHST7",2970,23,-1.00941666666666,1525630.03052155
"TCN2",7593,38,-0.34875,1527375.63502467
"SLC43A3",14355,22,-2.08407142857143,1528879.77109536
"WDR63",15171,234,2.151,1528957.09504652
"ALDH1A1",6181,22,-2.16033333333334,1529498.16077209
"INDO",6487,21,-2.36158333333333,1530073.97565546
"TCF7",15034,23,-3.286625,1530261.4964539
"ACTC1",2386,160,-0.31415,1531733.28044275
"LAIR1",2301,21,-0.00775000000000131,1531894.2832518
"C1orf38",15874,23,-0.738375000000001,1532017.07996328
"OSBPL3",11208,212,-0.721499999999999,1532168.34727954
"ST3GAL6",10185,52,-3.303375,1532813.38416309
"STH",491,229,2.49825,1532916.48956527
"EXOC3",4488,42,-0.490333333333333,1533832.06147461
"MAP3K3",8784,28,-0.757833333333334,1534029.98605614
"CASC2",10267,216,0.932916666666667,1534989.79419332
"WDR60",5889,164,0.158875,1535084.38519288
"KIAA1462",5312,46,-0.230999999999999,1535086.33074988
"CD5L",6109,29,-0.467375,1535624.91439484
"MIF4GD",8600,59,-0.20125,1535659.694016
"HS3ST2",5242,63,0.994124999999998,1535680.12454591
"CCPG1",15847,92,0.217892857142857,1535815.15581385
"MORN3",3622,184,1.76608333333333,1536465.41387829
"GNG2",6982,27,-1.21675,1536585.01036899
"SLC7A8",3774,236,2.92975,1537129.09458392
"DYX1C1",2012,186,1.987625,1537745.41822261
"SF3A1",2859,99,-0.304275,1538290.68138554
"HECTD2",15305,230,1.21058333333334,1538303.52242991
"CERK",10908,49,-1.29275,1538517.84743515
