"","mutO","mutX","MSE"
"TTN",360,784,1840273.08194578
"MUC16",152,877,1856381.32814553
"GPR112",42,956,1867625.65940816
"UBR4",50,944,1872830.65871817
"AHNAK",54,950,1874210.15035335
"MUC12",103,916,1878304.23355289
"HMCN1",67,931,1880991.35814447
"DST",69,937,1885570.34925229
"AHNAK2",51,946,1888391.76285562
"MAP1A",35,951,1892446.70416724
"SYNE2",59,936,1897715.58325136
"TP53",333,675,1898428.274211
"MALAT1",25,961,1904626.32447672
"DMD",64,932,1904802.8211013
"SRRM2",31,959,1905942.30229159
"XIRP2",51,944,1907879.43268769
"MYCBP2",29,957,1911372.09610984
"SYNE1",74,922,1912075.66139101
"UTRN",32,950,1913199.93749758
"DNAH11",37,948,1913652.4221968
"WNK3",27,960,1913866.15626887
"MXRA5",45,944,1914691.66484058
"LRP1B",36,949,1915715.25381919
"ALMS1",29,957,1915937.08129039
"PAPPA2",28,956,1916614.04999486
"ATP2B1",20,963,1917129.60082964
"RNF213",41,943,1917347.83001555
"CCDC88A",21,964,1918173.97012989
"OBSCN",61,929,1918478.78527
"FAT3",46,938,1918615.08758052
"CMYA5",44,952,1919364.58213851
"CDH1",123,863,1919489.2385821
"DYSF",30,956,1919493.45815512
"MLL2",33,949,1919564.54402991
"DNAH5",36,953,1920317.6783858
"DNAH2",31,952,1920423.37707337
"MUC17",51,938,1920770.98197404
"DNAH8",30,956,1920781.98134097
"PKHD1",33,953,1920798.14970394
"MUC4",92,904,1920870.26570388
"CD163L1",23,959,1921726.68456021
"ODZ4",25,956,1922071.49719728
"ZFHX4",45,939,1922340.49343549
"MACF1",44,940,1922629.12441242
"MYH11",27,955,1923239.98018323
"KIAA1210",31,954,1923328.15881231
"FAT2",34,953,1923568.47930897
"HUWE1",46,939,1923667.12749647
"DNAH10",37,952,1923895.12045345
"BRWD3",23,960,1924010.15783736
"MYO3A",25,959,1924046.37524598
"YLPM1",25,960,1924120.62993069
"WNK1",25,958,1924760.23121511
"FCGBP",63,925,1924909.25120177
"DNAH7",34,952,1924932.54133676
"BAZ2B",31,956,1925579.17283376
"UNC79",21,959,1925602.36589092
"ARHGAP31",20,964,1925926.79502758
"MAGI1",20,963,1926088.73509823
"PIK3CA",387,659,1926256.44076301
"ODZ3",20,962,1926324.67271868
"DSCAM",26,956,1926682.63422954
"KIAA0913",20,959,1927113.11745167
"ANK3",32,954,1927129.80460904
"FMN2",35,948,1927191.54855041
"VCAN",27,954,1927362.15948397
"STAG1",21,964,1927412.70475937
"MLL3",92,906,1927417.47539379
"PER3",20,963,1927454.78704947
"ASTN1",28,953,1927732.49807913
"CECR2",20,960,1927831.22746029
"MUC2",23,958,1927840.74907586
"UNC13C",28,958,1927864.92701371
"SHROOM2",23,960,1927943.22068273
"DYNC1H1",34,948,1928102.30681975
"ITGAX",21,960,1928231.2829735
"SACS",37,950,1928280.31569607
"SPHKAP",29,954,1928444.33434277
"MGA",33,957,1928980.94537571
"AKAP13",24,957,1929154.03715898
"CBFB",26,953,1929175.11505559
"TEX15",32,953,1929178.63419435
"ARID1A",32,947,1929387.98070802
"PTPRD",25,956,1929963.09390816
"GPR98",41,945,1929969.85480086
"CSMD2",42,945,1929971.22898802
"ZNF292",25,959,1930153.45976468
"SPEN",61,937,1930197.42048205
"HERC1",34,952,1930440.29348476
"HEATR7B2",27,954,1930520.941508
"PCSK5",20,960,1930524.98443671
"DCHS2",29,952,1930653.42086601
"C1orf173",21,960,1930943.75513243
"FREM2",21,958,1930968.74851151
"MLL",29,955,1931001.73197357
"GCN1L1",20,962,1931278.29961457
"STARD9",23,958,1931334.39260913
"PCLO",44,943,1931503.68535134
"ASH1L",23,958,1931656.04225981
"NIPBL",28,958,1931862.03552558
"COL12A1",29,956,1931950.14528798
"HECTD4",34,950,1931977.8004002
"TAF1L",27,955,1932411.46298042
"LPA",21,960,1932421.58971187
"MYO5B",21,958,1932604.85802614
"PRUNE2",37,949,1932871.66844654
"HYDIN",44,941,1933038.54162192
"DSP",22,961,1933071.0228419
"SDK1",28,957,1933151.69162008
"WDFY4",24,959,1933292.45909425
"RLF",21,960,1933504.30151834
"VPS13C",24,958,1933812.57585932
"ZZEF1",20,962,1933832.47246957
"HDAC6",23,957,1933911.25474537
"FRAS1",31,954,1934035.34105506
"UNC5D",22,959,1934054.02924007
"PLCB4",22,963,1934114.55037289
"POM121",20,958,1934158.44744004
"DOCK11",29,953,1934176.26370278
"ATRX",30,956,1934388.17847414
"MYO18B",24,956,1934393.37477732
"NF1",35,946,1934411.23782544
"PRKDC",31,954,1934415.63169154
"FAT4",31,952,1934436.70643515
"UBR5",27,954,1934597.7309235
"POLA1",20,962,1934609.23978783
"SCN2A",30,954,1934617.56546625
"FRMPD4",26,956,1934639.58753566
"CHD7",20,959,1934812.7323888
"FAM208B",22,959,1934822.20968931
"CSPP1",22,959,1934890.10004597
"NEB",53,934,1934903.03157895
"PCDH10",21,958,1935052.23010913
"PDE4DIP",29,956,1935067.79355911
"AHCTF1",28,956,1935074.13503401
"DOCK7",25,958,1935112.50314955
"MYH15",21,962,1935120.72198164
"GPR141",21,972,1935200.27594547
"C2orf16",22,960,1935233.19690037
"NACAD",20,961,1935451.59799322
"MADD",21,958,1935473.92848032
"RP1",25,954,1935517.27934847
"CSMD1",46,939,1935534.26624986
"NLRP7",21,962,1935560.9096752
"HRNR",52,933,1935614.3186367
"ANK2",40,945,1935631.90250231
"TRRAP",20,961,1935820.45841341
"DNAH9",38,946,1935969.17486946
"RYR1",47,937,1936018.76489181
"OTOF",20,959,1936037.73951202
"ASXL2",23,959,1936091.96320416
"ZNF208",22,956,1936120.03576471
"VPS13D",34,954,1936211.11615148
"F8",25,955,1936256.78130678
"ABCA4",21,960,1936267.8702834
"TANC2",20,960,1936306.91340119
"VPS13B",31,952,1936326.48902811
"FLNB",20,960,1936350.64215776
"SNRNP200",20,961,1936401.20277749
"ANKRD30B",22,963,1936572.31327159
"SETX",21,961,1936573.16505747
"GRIA3",20,960,1936586.37876589
"CHD8",21,959,1936635.71505018
"ANKRD12",24,956,1937024.79926344
"HEATR5A",20,963,1937028.80744259
"MAP2",25,956,1937164.86070045
"GRID1",21,959,1937192.30800265
"PREX2",28,955,1937278.91119041
"ANKRD36C",20,964,1937312.57668493
"BOD1L1",21,961,1937324.85958274
"SPTB",20,959,1937344.35781442
"FLG",69,923,1937464.40351419
"RNA5-8SP6",38,946,1937500.9989043
"AFF2",28,954,1937522.40033506
"COL14A1",25,958,1937533.42325323
"CENPE",24,957,1937802.68047177
"GON4L",34,951,1937881.91733326
"RELN",30,951,1938039.03221265
"ITPR2",25,956,1938078.90825516
"ERBB2",24,956,1938146.73764262
"THSD7A",20,959,1938501.12723912
"DMXL1",26,957,1938584.1985277
"GATA3",106,878,1938758.43922744
"ZFHX3",30,954,1938826.79854489
"KDM5C",20,963,1938947.66951795
"DNAH14",26,956,1939099.70783267
"WDFY3",27,955,1939353.48739609
"USH2A",60,924,1939435.97094239
"CELSR2",24,962,1939456.80753035
"FOXA1",25,954,1939555.26051197
"ABCA8",21,961,1939636.60208115
"ITPR1",20,958,1939754.19072148
"MTOR",27,953,1939769.98178132
"PHKA2",20,960,1939861.54055285
"NHS",21,959,1939886.27744427
"ODZ1",35,947,1940051.35269485
"SCN7A",21,958,1940185.11094983
"NALCN",23,958,1940201.81903735
"USP9X",24,957,1940215.01736535
"GPR125",20,962,1940231.0251957
"COL6A3",26,954,1940239.20328566
"FAM75D1",22,958,1940256.20665389
"PCNXL2",28,952,1940326.90304867
"ZFPM2",20,962,1940386.52959377
"MGAM",38,946,1940649.08760907
"RGAG1",20,960,1940654.59825491
"CACNA1G",20,961,1940820.15490863
"MYH10",21,960,1940897.7888175
"SHANK2",20,961,1940921.55015016
"PCDH15",20,959,1941046.59827891
"FBN3",28,953,1941073.54270821
"CACNA1B",20,959,1941402.61314214
"MUC5B",60,920,1941488.01872986
"APOBR",28,950,1941513.41790661
"DNAH6",29,956,1941538.3932176
"KIAA1109",32,952,1941708.79032955
"SCN5A",22,960,1941724.78475449
"CEP350",34,951,1941832.88034842
"RYR2",76,919,1941882.53518391
"RYR3",63,925,1941918.8210297
"ERBB3",21,958,1942002.94331452
"KIAA0430",22,957,1942037.79548885
"PDZD2",26,956,1942054.22851657
"PKD1L1",29,955,1942078.76441955
"FLG2",27,956,1942137.92135502
"MAP2K4",33,945,1942161.77747566
"TMEM132D",22,958,1942189.78155492
"SI",20,958,1942213.00929418
"SZT2",23,960,1942278.36057267
"FLNA",31,955,1942288.88343518
"TPR",21,958,1942326.18746251
"DNAH3",29,950,1942370.62994444
"FSIP2",20,961,1942423.17138945
"FLNC",28,951,1942502.02286269
"DSPP",23,957,1942533.35473929
"NBPF10",21,959,1942653.49111528
"BCORL1",21,958,1942688.16625065
"CNTRL",26,957,1942693.3728289
"PKD1L2",20,959,1942698.96856176
"TCHH",23,956,1942796.54766475
"HLA-DRB1",21,962,1942848.24671024
"SVEP1",28,954,1942870.61523683
"CIT",20,958,1942905.81261905
"CHD4",32,951,1943141.7533434
"PIWIL1",20,958,1943196.77542753
"APC",28,957,1943352.55534464
"PLXNA4",23,957,1943513.98012525
"BIRC6",29,952,1943737.34597022
"MDN1",45,940,1943837.33744591
"RGPD3",22,958,1943943.33268776
