"","mutO","mutX","MSE"
"MPP7",1,403,1322645.49089748
"CNP",1,403,1322645.49089748
"CRYGD",1,403,1322645.49089748
"PDAP1",1,403,1322645.49089748
"JUN",1,403,1341821.10856694
"WWTR1",1,403,1341821.10856694
"LYPD4",1,403,1341821.10856694
"FAM49B",1,403,1369554.37783456
"PRKAR1B",1,403,1369554.37783456
"FAM182A",2,402,1370288.18548963
"IL33",2,402,1375726.03697478
"MT-CYB",3,401,1376360.42734336
"XKR6",2,402,1381351.29210999
"MEGF6",2,402,1386919.80400596
"SLC2A9",2,402,1392076.15408724
"CPA5",1,403,1392227.12773014
"VANGL1",1,403,1392227.12773014
"ARPC4-TTLL3",1,403,1392227.12773014
"CSH2",1,403,1392227.12773014
"SLC35G1",1,403,1392227.12773014
"SMCP",1,403,1392227.12773014
"SURF6",1,403,1392227.12773014
"FTMT",2,402,1394334.55081646
"CYP2D7P1",2,402,1398171.74689055
"U2AF2",2,402,1399048.73299961
"OR56B4",2,402,1402749.62379316
"PLCD1",1,403,1405357.48457116
"RHEBL1",1,403,1405357.48457116
"N4BP3",1,403,1405357.48457116
"GABRG2",2,402,1409124.11950766
"INTS4L1",2,402,1409595.23292572
"CYP21A2",4,400,1409990.71766708
"PCDHGC3",3,401,1411160.14468367
"PNPLA6",2,402,1411648.62342372
"BTNL9",2,402,1415445.52300995
"ENSG00000210082",3,401,1416117.90443034
"GOLGA6L5",5,399,1416925.70096032
"CASC1",2,402,1417390.58155386
"GBP1",2,402,1417390.58155386
"FBXW12",2,402,1417390.58155386
"JAGN1",1,403,1417556.7627939
"ZNF610",1,403,1417556.7627939
"RRM2",1,403,1417556.7627939
"HIPK1",1,403,1417556.7627939
"SWAP70",1,403,1417556.7627939
"C7orf66",1,403,1417556.7627939
"CST5",1,403,1417556.7627939
"FAR1",1,403,1417556.7627939
"TMEM247",5,399,1417602.37024988
"WNT2B",2,402,1418146.93789099
"LINC00200",1,403,1419745.04717097
"WHAMMP3",1,403,1419745.04717097
"CXorf38",1,403,1419745.04717097
"C10orf137",1,403,1419745.04717097
"BBC3",1,403,1419745.04717097
"ZNF192P1",1,403,1419745.04717097
"C6orf211",1,403,1419745.04717097
"PEBP1",1,403,1419745.04717097
"ALX3",1,403,1419745.04717097
"LENG9",1,403,1419745.04717097
"TMEM145",3,401,1420546.06542637
"IL21",2,402,1420794.32250259
"ZNF454",3,401,1420945.41727365
"OR5W2",2,402,1421516.20122777
"OR2C3",1,403,1421850.48594698
"ENSG00000210191",1,403,1421850.48594698
"MIR410",1,403,1421850.48594698
"MT-ND1",1,403,1421850.48594698
"RHAG",1,403,1421850.48594698
"UBE2E3",1,403,1421850.48594698
"ITGB3BP",2,402,1422127.11672455
"RHBDF2",2,402,1422217.6339897
"SEPT1",2,402,1424403.47897271
"GTF2F2",2,402,1427401.85011206
"HFM1",5,399,1428322.62239013
"NR0B2",2,402,1429110.18711517
"KCNQ2",7,397,1430486.82632295
"ABCD2",3,401,1430612.0989564
"PCOLCE",3,401,1430940.35825864
"CBFB",9,395,1431279.88498002
"ELP6",1,403,1431582.36412549
"KIRREL3",1,403,1431582.36412549
"REG1B",1,403,1431582.36412549
"ZNF461",1,403,1431582.36412549
"GDPD4",1,403,1432639.92647962
"SFRP1",1,403,1432639.92647962
"NR1I2",1,403,1432639.92647962
"CD2BP2",1,403,1432639.92647962
"B3GALT2",1,403,1432639.92647962
"CEACAM6",1,403,1432639.92647962
"IFITM1",1,403,1432639.92647962
"MT1A",1,403,1432639.92647962
"XKR9",1,403,1432639.92647962
"RIMBP3",2,402,1433896.18430742
"PANK4",4,400,1434190.92147896
"ABCB10",3,401,1434273.91273878
"NEIL1",3,401,1434602.45715744
"PAX2",3,401,1434652.77801371
"SEPT7P2",1,403,1435529.31385893
"RBM39",1,403,1435529.31385893
"SLC29A4",1,403,1435529.31385893
"ANKZF1",1,403,1435529.31385893
"ENSG00000211459",1,403,1435529.31385893
"IL2RG",1,403,1435529.31385893
"ZBTB25",1,403,1435529.31385893
"UNC45A",1,403,1435642.57990811
"DAO",1,403,1435642.57990811
"KLF17",1,403,1435642.57990811
"CALML6",1,403,1435642.57990811
"FEZF2",1,403,1435642.57990811
"RGS5",1,403,1435642.57990811
"TMEM9B",1,403,1435642.57990811
"WSB2",1,403,1435642.57990811
"PRAM1",2,402,1436092.06460889
"ENTPD5",2,402,1436700.92577336
"MAP1A",15,389,1436881.33531014
"MPO",3,401,1437124.03057538
"PLIN5",1,403,1437344.06278407
"CEP85L",1,403,1437344.06278407
"KIAA1456",1,403,1437344.06278407
"ANKRD20A11P",1,403,1437344.06278407
"CALR",1,403,1437344.06278407
"SIX1",1,403,1437344.06278407
"GAGE10",1,403,1437344.06278407
"SFTPA1",1,403,1437344.06278407
"SPTY2D1-AS1",1,403,1437344.06278407
"ZNF720",1,403,1437344.06278407
"TOMM34",2,402,1437443.77986922
"ABCC8",7,397,1437477.32061002
"PHF20",1,403,1437506.04126231
"CALM2",1,403,1437506.04126231
"BIRC6",12,392,1437544.09333956
"CSPP1",6,398,1437597.80954069
"NCKAP1L",7,397,1437638.34758924
"USP11",2,402,1437738.68681961
"SLC38A10",4,400,1437976.02073639
"MAML2",5,399,1438003.17434676
"IQUB",2,402,1438256.02574381
"MAP2K4",16,388,1438388.68245222
"PLCZ1",5,399,1438448.14103328
"BAZ1B",6,398,1438577.65903569
"RYR1",19,385,1438578.10437525
"MAGI3",8,396,1438636.97108773
"ANAPC5",5,399,1438893.95079282
"WDR67",5,399,1439264.31305491
"CPXM1",7,397,1439266.06704456
"ATP1A4",9,395,1439281.15752044
"L3MBTL4",4,400,1439291.83066832
"CFHR1",1,403,1439317.42899786
"ING1",1,403,1439317.42899786
"FAM210A",1,403,1439317.42899786
"TM2D2",1,403,1439317.42899786
"MRPL20",1,403,1439317.42899786
"VIPR2",1,403,1439317.42899786
"DKKL1",1,403,1439317.42899786
"C6orf52",1,403,1439317.42899786
"CLDN23",1,403,1439317.42899786
"RNA5SP301",1,403,1439317.42899786
"SOX12",1,403,1439317.42899786
"WNT10B",1,403,1439317.42899786
"CYP24A1",5,399,1439326.90153106
"SPAG11B",2,402,1439331.51687725
"EXOC7",2,402,1439349.60532117
"DYNC1H1",11,393,1439427.97132652
"PREX2",9,395,1439483.05266324
"CD4",5,399,1439510.19358297
"PRPF8",9,395,1439619.80207489
"RNA5-8SP6",12,392,1439736.98984222
"ABR",7,397,1439754.84160375
"SETDB1",9,395,1439755.97539653
"DNAJC13",6,398,1439872.90225675
"KIAA0913",10,394,1439949.41174172
"AKAP4",6,398,1439965.68620122
"SDCCAG8",6,398,1440017.11558411
"PXDNL",7,397,1440017.91852615
"FADS2",5,399,1440060.16471376
"OBSCN",15,389,1440146.23239753
"ITGAV",8,396,1440177.96387764
"DNAH2",14,390,1440200.62297084
"COL4A6",9,395,1440211.30719249
"KIF17",7,397,1440222.08047449
"ZNF598",2,402,1440241.34094995
"FAT3",18,386,1440265.71675659
"PDE4D",7,397,1440321.30384532
"PRKAR1A",2,402,1440346.67758362
"AP3B1",9,395,1440361.62622996
"PION",3,401,1440471.56335235
"MFI2",5,399,1440477.80039207
"SPRY4",1,403,1440546.3872319
"HNRNPA3",1,403,1440546.3872319
"OR11H4",1,403,1440546.3872319
"B4GALT6",1,403,1440546.3872319
"C10orf88",1,403,1440546.3872319
"DUSP9",1,403,1440546.3872319
"EFNB1",1,403,1440546.3872319
"IFLTD1",1,403,1440546.3872319
"KRTAP11-1",1,403,1440546.3872319
"LCE2A",1,403,1440546.3872319
"MAL",1,403,1440546.3872319
"OR10G2",1,403,1440546.3872319
"PEX26",1,403,1440546.3872319
"TRAF3",1,403,1440546.3872319
"USP46",1,403,1440546.3872319
"SYTL2",5,399,1440566.30255838
"GOLGA3",7,397,1440621.74134153
"MAPRE3",5,399,1440638.02159607
"C6orf132",2,402,1440660.53823088
"DMBT1",6,398,1440683.10557532
"RNF213",15,389,1440746.0427134
"LARP1",5,399,1440764.4940867
"RRP12",6,398,1440778.50607617
"ATP8B4",5,399,1440808.36020745
"DOCK1",5,399,1440863.10263282
"ZNF536",9,395,1440910.64891869
"FOXN1",4,400,1440931.81336015
"ALK",7,397,1440937.72624243
"ASTN1",10,394,1440939.72954842
"NRP2",6,398,1440963.4183272
"PLD5",5,399,1441021.90816646
"KCNB1",6,398,1441052.96106564
"RBMX",5,399,1441075.64019703
"AP4E1",5,399,1441178.63175761
"RFC1",5,399,1441243.49259287
"ZNF726",2,402,1441278.5878836
"OR14C36",7,397,1441323.46607334
"SLC27A4",3,401,1441350.44237179
"ITGAX",8,396,1441361.93507476
"TMEM87B",5,399,1441388.90165265
"EPHA4",5,399,1441399.64362143
"C4orf17",5,399,1441415.74905581
"SIN3A",7,397,1441428.19974241
"MYCBP2",11,393,1441428.33547477
"GTPBP5",2,402,1441498.60332619
"RNLS",4,400,1441504.36246906
"ITPR1",11,393,1441504.76445011
"ANKRD26",5,399,1441549.61013177
"C20orf112",5,399,1441554.95154222
"LRRK2",6,398,1441555.24428869
"ARFGEF1",4,400,1441588.53094059
"DHX9",4,400,1441588.53094059
"GSPT2",4,400,1441617.65126238
"CGN",4,400,1441648.0365099
"DOCK6",4,400,1441648.0365099
"VWA3B",8,396,1441680.1827589
"KIAA0754",6,398,1441691.60166965
"CKAP5",5,399,1441725.34735353
"NT5C3",2,402,1441733.66243658
"ST18",6,398,1441744.9909925
"IPCEF1",2,402,1441767.08310551
"KIF2A",4,400,1441772.59133045
"SUSD5",5,399,1441815.45258443
"FMO4",4,400,1441837.61433168
"CACNA1E",15,389,1441842.546376
"ATP2B3",5,399,1441863.0380605
"COL4A5",9,395,1441903.86023311
"ANKHD1",7,397,1441919.36885909
"DIDO1",8,396,1441936.4055218
"ANKFY1",5,399,1441957.96540361
"LRP1B",7,397,1441977.37795311
"UBR4",20,384,1441978.26487598
"FAM82A1",4,400,1442090.3439047
"MYO9B",7,397,1442101.90751891
"APOB",18,386,1442116.77595732
"MDGA2",5,399,1442131.15525695
"TOX2",3,401,1442162.99887246
"MTMR8",6,398,1442178.00619227
