"","mutO","mutX","MSE"
"MPP7",1,257,1468818.56842518
"CNP",1,257,1468818.56842518
"CRYGD",1,257,1468818.56842518
"PDAP1",1,257,1468818.56842518
"ZNF454",1,257,1468818.56842518
"XKR6",1,257,1497744.23427744
"NEIL1",1,257,1497744.23427744
"JUN",1,257,1497744.23427744
"WWTR1",1,257,1497744.23427744
"LYPD4",1,257,1497744.23427744
"FAM49B",1,257,1539392.15030314
"PRKAR1B",1,257,1539392.15030314
"FAM182A",2,256,1545138.16677265
"IL33",2,256,1553115.88176781
"MT-CYB",3,255,1557400.47827937
"MEGF6",2,256,1569474.41011083
"CPA5",1,257,1573204.85937924
"VANGL1",1,257,1573204.85937924
"ARPC4-TTLL3",1,257,1573204.85937924
"CSH2",1,257,1573204.85937924
"RPL7",1,257,1573204.85937924
"SLC35G1",1,257,1573204.85937924
"SMCP",1,257,1573204.85937924
"SURF6",1,257,1573204.85937924
"SLC2A9",2,256,1576976.56284823
"FTMT",2,256,1580254.81478622
"CYP2D7P1",2,256,1585813.2673813
"U2AF2",2,256,1587081.4791061
"ENSG00000210082",2,256,1588339.12833091
"TMEM247",4,254,1592222.75041201
"OR56B4",2,256,1592423.79499758
"GABRG2",2,256,1601585.34409823
"INTS4L1",2,256,1602260.20003634
"PNPLA6",2,256,1605197.67476684
"CBFB",7,251,1606933.72249209
"PCDHGC3",3,255,1606976.51548868
"CYP21A2",4,254,1607411.59982909
"PCOLCE",2,256,1609374.70906008
"JAGN1",1,257,1610553.63915784
"ZNF610",1,257,1610553.63915784
"DNALI1",1,257,1610553.63915784
"ANAPC7",1,257,1610553.63915784
"RRM2",1,257,1610553.63915784
"HIPK1",1,257,1610553.63915784
"SWAP70",1,257,1610553.63915784
"C7orf66",1,257,1610553.63915784
"CST5",1,257,1610553.63915784
"FAR1",1,257,1610553.63915784
"BTNL9",2,256,1610611.1513899
"MAP1A",13,245,1612268.27751208
"CASC1",2,256,1613374.32146318
"GBP1",2,256,1613374.32146318
"FBXW12",2,256,1613374.32146318
"TBL1XR1",2,256,1613570.20052083
"LINC00200",1,257,1613747.19340633
"WHAMMP3",1,257,1613747.19340633
"CXorf38",1,257,1613747.19340633
"C10orf137",1,257,1613747.19340633
"BBC3",1,257,1613747.19340633
"ZNF192P1",1,257,1613747.19340633
"C6orf211",1,257,1613747.19340633
"PEBP1",1,257,1613747.19340633
"AADACL2",1,257,1613747.19340633
"ALX3",1,257,1613747.19340633
"LENG9",1,257,1613747.19340633
"WNT2B",2,256,1614446.82229591
"PANK4",3,255,1616628.47156103
"OR2C3",1,257,1616812.92468253
"ENSG00000210191",1,257,1616812.92468253
"MIR410",1,257,1616812.92468253
"MT-ND1",1,257,1616812.92468253
"RHAG",1,257,1616812.92468253
"UBE2E3",1,257,1616812.92468253
"IL21",2,256,1618191.36434109
"AP3B1",9,249,1619577.40648382
"TMEM145",3,255,1620020.26122511
"RHBDF2",2,256,1620198.07302265
"SNX13",2,256,1620524.99126393
"UNC79",7,251,1621600.78767102
"WDR67",3,255,1622865.21711506
"SEPT1",2,256,1623270.22406432
"KIAA0913",9,249,1623546.65941285
"ABCC8",5,253,1624105.72469283
"OBSCN",12,246,1624183.67946052
"PAX2",2,256,1625225.65546269
"ANKHD1",7,251,1625391.86797439
"FBXO21",6,252,1625446.31499938
"FADS2",3,255,1626138.24024928
"COASY",2,256,1626495.96909823
"L3MBTL4",3,255,1626838.87435781
"ALK",6,252,1627015.30724745
"TMEM151B",2,256,1627131.20795482
"GSPT2",3,255,1627410.76127071
"GTF2F2",2,256,1627463.27857013
"RYR1",9,249,1627529.73299918
"LRP1B",5,253,1627696.66062444
"SUSD5",5,253,1627948.28081012
"LRP1",12,246,1628355.72462501
"AAK1",8,250,1628404.34069767
"SSH1",6,252,1629164.41092962
"SALL2",2,256,1629277.87009448
"PAPPA2",7,251,1629694.88329738
"ZNF800",5,253,1629765.66941814
"NR0B2",2,256,1629840.05812439
"MXRA5",7,251,1629945.34414722
"HELZ",5,253,1629969.09203665
"BIRC6",8,250,1630070.20153488
"COL27A1",5,253,1630212.36439624
"DZANK1",5,253,1630484.95726323
"KIF17",6,252,1630513.90605389
"CCDC108",5,253,1630545.37693415
"PRDM16",2,256,1630619.08230378
"PKD1L2",5,253,1630851.436094
"PRKAG3",1,257,1630873.58510542
"ELP6",1,257,1630873.58510542
"KIRREL3",1,257,1630873.58510542
"PIK3C3",1,257,1630873.58510542
"REG1B",1,257,1630873.58510542
"ZNF461",1,257,1630873.58510542
"SYTL2",4,254,1631452.93474181
"PM20D1",4,254,1631563.54482543
"RUSC1-AS1",4,254,1631563.54482543
"PRPF8",7,251,1631671.76531526
"PLEKHG1",4,254,1631673.95805866
"EIF2C3",4,254,1631673.95805866
"TEK",5,253,1631909.47246377
"CD4",4,254,1632047.89061069
"FRAS1",12,246,1632217.39564032
"GDPD4",1,257,1632387.96163243
"SLC12A4",1,257,1632387.96163243
"SFRP1",1,257,1632387.96163243
"NR1I2",1,257,1632387.96163243
"CD2BP2",1,257,1632387.96163243
"B3GALT2",1,257,1632387.96163243
"CEACAM6",1,257,1632387.96163243
"IFITM1",1,257,1632387.96163243
"MT1A",1,257,1632387.96163243
"XKR9",1,257,1632387.96163243
"DNAH2",11,247,1632394.82218475
"MALAT1",10,248,1632466.19254814
"OR8H1",5,253,1632517.047008
"RRP12",5,253,1632711.74235377
"MECOM",6,252,1632846.3108158
"UCK2",3,255,1633075.06332269
"PEX1",5,253,1633079.92121825
"ODZ4",10,248,1633138.46361278
"MAP2K4",12,246,1633215.84738766
"SIN3A",5,253,1633253.52489506
"MYO18B",7,251,1633432.80044385
"GOLGA3",4,254,1633520.86491333
"HFM1",5,253,1633546.33161136
"SFMBT1",3,255,1633606.7744338
"ABCD2",3,255,1633729.73537012
"DNMT1",5,253,1633799.89042498
"PIK3CG",4,254,1633862.1557636
"USP25",4,254,1634116.80106665
"MKI67",5,253,1634539.22440788
"ATP8B4",4,254,1634549.19709455
"ANK3",8,250,1634609.04048062
"LRRK2",5,253,1634708.47393449
"CNTN4",5,253,1634764.77660937
"MLL2",10,248,1634822.75973681
"DOCK1",4,254,1634863.48797534
"PCDH10",7,251,1634912.49481366
"PHKA1",5,253,1634952.0411251
"ITPR1",9,249,1635105.74038791
"UBE4B",7,251,1635150.09537487
"ANKRD11",7,251,1635197.49255029
"TBC1D25",6,252,1635209.93626184
"ATP1A2",5,253,1635268.93941845
"ZNF721",4,254,1635269.41749832
"EP300",6,252,1635294.96917682
"ENTPD6",4,254,1635497.08251694
"MIA3",4,254,1635569.32158335
"FN1",5,253,1635584.01004382
"LIMCH1",4,254,1635641.46419307
"NCKAP1L",4,254,1635672.35292681
"CDH1",21,237,1635700.39313867
"HMCN1",13,245,1635724.41979726
"SLIT1",5,253,1635805.31244293
"MTMR8",5,253,1635906.43836137
"UGT1A4",4,254,1635990.49910731
"EPHA4",4,254,1635990.49910731
"WNK1",9,249,1636043.05756359
"GOLGA4",5,253,1636098.96570763
"VWA7",5,253,1636117.26528174
"RUNX1T1",5,253,1636190.40033704
"UACA",8,250,1636201.38913178
"COL4A5",7,251,1636214.36874429
"OR14C36",5,253,1636236.05836321
"COX20",4,254,1636245.69065495
"PDE4D",5,253,1636290.79582069
"CAMTA1",6,252,1636313.3839824
"COL3A1",4,254,1636327.09210767
"ACIN1",5,253,1636372.79528756
"RIMBP3",2,256,1636442.22878815
"PMS1",2,256,1636456.51786579
"SEPT7P2",1,257,1636507.71752179
"RBM39",1,257,1636507.71752179
"SLC29A4",1,257,1636507.71752179
"SUGP1",1,257,1636507.71752179
"ANKZF1",1,257,1636507.71752179
"ENSG00000211459",1,257,1636507.71752179
"IL2RG",1,257,1636507.71752179
"ZBTB25",1,257,1636507.71752179
"DYNC1H1",6,252,1636521.38624339
"COL14A1",5,253,1636545.4847198
"XPOT",4,254,1636661.54140725
"DDX42",4,254,1636752.38280535
"IARS2",5,253,1636816.99018905
"AKAP6",5,253,1636826.01586543
"KCNB1",3,255,1636887.27809698
"C14orf43",5,253,1636934.20066183
"KCNQ2",6,252,1636951.19129137
"CNTRL",7,251,1636991.12444133
"FHAD1",3,255,1637066.49779602
"MYH4",4,254,1637114.15390954
"C9orf174",9,249,1637159.84305179
"CCDC155",7,251,1637189.20201365
"HEATR7B2",10,248,1637205.04598337
"SCEL",5,253,1637212.62429758
"DNAJC13",4,254,1637214.19312702
"ZNF658",3,255,1637239.46861225
"FMNL3",4,254,1637294.08276872
"EMC1",5,253,1637319.9932837
"BAZ1B",4,254,1637373.84642617
"KIAA0754",4,254,1637562.78019136
"ANKS6",5,253,1637587.41970157
"APOB",13,245,1637634.86112227
"DOCK11",8,250,1637669.49345349
"ABCB4",4,254,1637701.53982024
"ATAD2B",5,253,1637711.73174005
"WNK3",8,250,1637775.26572093
"DNMBP",4,254,1637790.53869865
"MYO1A",5,253,1637871.10616785
"POLR1A",5,253,1637941.77481999
"ARFGEF1",3,255,1637976.67207782
