"","cor","number"
"GSPT2",0.463206565906974,16856
"SPRR1A",-0.455961185023962,16676
"OR51L1",-0.45119372903319,1611
"RUNDC3B",0.44736745861433,1464
"GABRD",-0.445590337076877,7273
"ABCB1",0.423937296503292,1321
"COL20A1",-0.419185752070814,9896
"TPO",0.418184003135979,8422
"GJC1",-0.41740889192057,9636
"C14orf162",-0.416094087043016,16629
"CFI",0.41322009283092,12572
"PSPN",-0.407051200753718,7877
"RASSF3",-0.403440529477249,16250
"RSPO3",0.402862083512932,11785
"CCNG1",0.402719483029239,12634
"TNN",0.402698979127411,16954
"DARC",0.401453069273147,14565
"ITM2A",0.401276251463351,17009
"GPR12",-0.398045385862933,10085
"FOXD2",-0.395823203778092,2779
"FLJ32214",-0.390332338372897,10220
"GPR78",-0.386487009539206,13134
"APC2",-0.385569607500763,16208
"ITPKA",-0.384078534459165,12248
"CD1C",0.381776012765883,3279
"SCO2",-0.37928365624136,7417
"AVPR2",0.379109668951633,12374
"CREBL2",0.378246291113485,10339
"MGC11102",-0.376672614965493,233
"HIST2H2AC",-0.376328566609136,15668
"RHCG",0.375903390339524,3732
"C16orf13",-0.373583804649766,10466
"CUTC",0.373346566565746,7474
"FCER1A",0.37325340282952,16548
"IER5L",-0.372678107687022,10207
"CHST1",-0.372558249851057,7792
"CHRNE",-0.372390904925021,14108
"ADAMTSL2",-0.372361681988282,1475
"RPN2",-0.372136320964851,930
"ARID3A",-0.371609729038612,3453
"BHLHB3",0.371282559402929,451
"UBLCP1",0.368371999404599,9998
"SEMA7A",-0.367980369617169,14466
"MMP11",-0.367211802679435,11381
"ARHGAP19",0.366542117552755,12358
"FKBP5",0.366329112392466,13452
"CAV3",0.366209943295806,2524
"C1RL",0.366020671927055,6571
"STX11",0.365877573514937,12274
"IFT57",0.365296333114009,10742
"ADRB3",-0.364485255528622,883
"PIK3C2G",0.363842779177385,6943
"MRGPRE",-0.363749883028841,3019
"STIM2",0.363727974229967,11484
"HIST1H2AI",-0.363679037291946,5955
"MFAP4",0.362893527915932,8223
"FOXD4L1",-0.362433242768482,13179
"SYNGAP1",-0.36199530649954,15239
"P2RY5",0.360725321420469,10435
"TBXA2R",-0.360316989340939,5684
"MIDN",-0.359834793170311,3664
"TMEM151",-0.359232619811082,4110
"TTC23",0.358986166394134,1978
"GPR87",0.35869752254154,4233
"POLM",-0.35788026864564,12079
